product_id,product_name,category,description,price,rating,image_url,user_id,user_rating
PROD_0101,Noise-Canceling Wireless Headphones,Electronics,Premium Bluetooth over-ear headphones with active noise cancellation and 30-hour battery life. High quality item designed for daily use.,195.08,4.9,https://images.example.com/products/prod_0101.jpg,,
PROD_0102,Breathable Running Shoes,Apparel,Lightweight mesh athletic sneakers designed for endurance running and training. High quality item designed for daily use.,369.34,4.0,https://images.example.com/products/prod_0102.jpg,,
PROD_0103,Robotic Vacuum Cleaner,Home & Kitchen,Smart Wi-Fi connected robot vacuum with self-charging and laser mapping navigation. High quality item designed for daily use.,88.56,2.9,https://images.example.com/products/prod_0103.jpg,,
PROD_0104,Designing Data-Intensive Applications Model D,Books,"Essential handbook for building scalable, reliable, and maintainable software systems. High quality item designed for daily use.",40.82,4.7,https://images.example.com/products/prod_0104.jpg,,
PROD_0105,Hydrating Facial Cleanser Model E,Beauty & Personal Care,Gentle foaming face wash infused with hyaluronic acid and essential ceramides. High quality item designed for daily use.,305.54,4.3,https://images.example.com/products/prod_0105.jpg,,
PROD_0106,Noise-Canceling Wireless Headphones Model F,Electronics,Premium Bluetooth over-ear headphones with active noise cancellation and 30-hour battery life. High quality item designed for daily use.,22.53,4.9,https://images.example.com/products/prod_0106.jpg,,
PROD_0107,Slim-Fit Denim Jacket Model G,Apparel,Timeless vintage denim jacket with durable stitching and dual chest pockets. High quality item designed for daily use.,418.31,3.0,https://images.example.com/products/prod_0107.jpg,,
PROD_0108,Stainless Steel Cookware Set Model H,Home & Kitchen,10-piece non-stick induction compatible pan and pot set. High quality item designed for daily use.,101.14,3.0,https://images.example.com/products/prod_0108.jpg,,
PROD_0109,Mastering Machine Learning with Python Model I,Books,"A comprehensive guide to practical data science, neural networks, and AI algorithms. High quality item designed for daily use.",160.82,3.8,https://images.example.com/products/prod_0109.jpg,,
PROD_0110,Organic Argan Oil Hair Mask Model J,Beauty & Personal Care,Deep conditioning hair repair treatment enriched with vitamin E and botanical oils. High quality item designed for daily use.,223.07,3.2,https://images.example.com/products/prod_0110.jpg,,
PROD_0111,Noise-Canceling Wireless Headphones Model K,Electronics,Premium Bluetooth over-ear headphones with active noise cancellation and 30-hour battery life. High quality item designed for daily use.,310.77,2.8,https://images.example.com/products/prod_0111.jpg,,
PROD_0112,Thermal Compression Leggings Model L,Apparel,High-waisted workout leggings with moisture-wicking technology and side pockets. High quality item designed for daily use.,154.92,3.4,https://images.example.com/products/prod_0112.jpg,,
PROD_0113,Automatic Espresso Machine Model M,Home & Kitchen,Compact 15-bar pump espresso maker with integrated milk frother wand. High quality item designed for daily use.,234.83,4.5,https://images.example.com/products/prod_0113.jpg,,
PROD_0114,Designing Data-Intensive Applications Model N,Books,"Essential handbook for building scalable, reliable, and maintainable software systems. High quality item designed for daily use.",109.84,3.8,https://images.example.com/products/prod_0114.jpg,,
PROD_0115,Hydrating Facial Cleanser Model O,Beauty & Personal Care,Gentle foaming face wash infused with hyaluronic acid and essential ceramides. High quality item designed for daily use.,301.3,2.6,https://images.example.com/products/prod_0115.jpg,,
PROD_0116,Noise-Canceling Wireless Headphones Model P,Electronics,Premium Bluetooth over-ear headphones with active noise cancellation and 30-hour battery life. High quality item designed for daily use.,308.67,2.9,https://images.example.com/products/prod_0116.jpg,,
PROD_0117,Classic Unisex Cotton Hoodie Model Q,Apparel,Soft fleece lined pullover hoodie available in multiple neutral colors. High quality item designed for daily use.,44.21,4.9,https://images.example.com/products/prod_0117.jpg,,
PROD_0118,Robotic Vacuum Cleaner Model R,Home & Kitchen,Smart Wi-Fi connected robot vacuum with self-charging and laser mapping navigation. High quality item designed for daily use.,483.24,4.5,https://images.example.com/products/prod_0118.jpg,,
PROD_0119,Mastering Machine Learning with Python Model S,Books,"A comprehensive guide to practical data science, neural networks, and AI algorithms. High quality item designed for daily use.",161.0,2.7,https://images.example.com/products/prod_0119.jpg,,
PROD_0120,Organic Argan Oil Hair Mask Model T,Beauty & Personal Care,Deep conditioning hair repair treatment enriched with vitamin E and botanical oils. High quality item designed for daily use.,346.06,3.6,https://images.example.com/products/prod_0120.jpg,,
PROD_0121,Noise-Canceling Wireless Headphones Model U,Electronics,Premium Bluetooth over-ear headphones with active noise cancellation and 30-hour battery life. High quality item designed for daily use.,71.99,3.7,https://images.example.com/products/prod_0121.jpg,,
PROD_0122,Breathable Running Shoes Model V,Apparel,Lightweight mesh athletic sneakers designed for endurance running and training. High quality item designed for daily use.,29.26,4.8,https://images.example.com/products/prod_0122.jpg,,
PROD_0123,Stainless Steel Cookware Set Model W,Home & Kitchen,10-piece non-stick induction compatible pan and pot set. High quality item designed for daily use.,138.65,4.2,https://images.example.com/products/prod_0123.jpg,,
PROD_0124,Designing Data-Intensive Applications Model X,Books,"Essential handbook for building scalable, reliable, and maintainable software systems. High quality item designed for daily use.",164.46,3.8,https://images.example.com/products/prod_0124.jpg,,
